round_epochs,loss,acc,first_neuron,activation,batch_size
100,0.449224737935892,0.8007448775142265,24,<function elu at 0x0000023826F4BEA0>,10
100,0.5205753490023551,0.774674116122212,48,<function relu at 0x0000023826F5D158>,20
100,0.5742357584129276,0.746741153008445,12,<function relu at 0x0000023826F5D158>,10
100,0.45292060967930203,0.8007448735183844,24,<function elu at 0x0000023826F4BEA0>,30
100,0.5573421362059077,0.750465554232038,12,<function elu at 0x0000023826F4BEA0>,30
100,5.914535975323043,0.6331471215857252,12,<function relu at 0x0000023826F5D158>,20
100,0.48706764365707694,0.7765363150690743,48,<function relu at 0x0000023826F5D158>,10
100,0.4691121887894316,0.7914338955444109,24,<function elu at 0x0000023826F4BEA0>,20
100,0.5199944330327337,0.7579143406958554,24,<function relu at 0x0000023826F5D158>,30
100,0.5472827806819085,0.7597765363128491,48,<function relu at 0x0000023826F5D158>,30
100,0.5078693077217933,0.7765363067444032,24,<function relu at 0x0000023826F5D158>,10
100,0.4736237161319349,0.785847298148846,12,<function elu at 0x0000023826F4BEA0>,10
100,0.4197785337655016,0.8286778439578619,48,<function elu at 0x0000023826F4BEA0>,20
100,5.973000017624328,0.6294227309067156,48,<function elu at 0x0000023826F4BEA0>,30
100,0.4901068436477881,0.8305400301402286,48,<function elu at 0x0000023826F4BEA0>,10
100,0.5369441517016519,0.7709497276631148,12,<function elu at 0x0000023826F4BEA0>,20
100,0.5118941361677714,0.7635009274358412,24,<function relu at 0x0000023826F5D158>,20
100,0.6250440494974232,0.7206703850676893,12,<function relu at 0x0000023826F5D158>,30
